Age group,State,City,Location,Activity,Duration,Budget,Rating
41-45,Oregon,Eugene,Mount Pisgah,Sightseeing,12,2624,5
26-30,Washington,Seattle,Pike Place Market,Hiking,8,1101,3
21-25,Washington,Spokane,Manito Park,Museum,2,327,3
36-40,California,San Diego,San Diego Zoo,Theme Parks,10,2265,5
51-55,Washington,Spokane,Manito Park,Sightseeing,5,1268,5
46-50,Illinois,Chicago,Willis Tower,Museum,5,903,3
56-60,Indiana,Bloomington,Monroe Lake,Sightseeing,8,2369,2
21-25,Iowa,Cedar Rapids,National Czech & Slovak Museum & Library,Museum,1,155,5
21-25,Iowa,Des Moines,Iowa State Capitol,Hiking,1,178,1
41-45,Washington,Seattle,Pike Place Market,Boating,3,728,4
21-25,Texas,Dallas,The Sixth Floor Museum,Boating,3,451,3
56-60,Nebraska,Omaha,Henry Doorly Zoo,Visit Historical Sites,8,1826,3
46-50,Texas,Austin,The State Capitol,Sightseeing,6,1584,3
31-35,Iowa,Cedar Rapids,National Czech & Slovak Museum & Library,Theme Parks,9,1365,4
41-45,Nebraska,Omaha,Henry Doorly Zoo,Sightseeing,7,1427,1
21-25,Nevada,Las Vegas,Red Rock Canyon,Hiking,13,1834,2
26-30,Michigan,Ann Arbor,University of Michigan,Visit Historical Sites,8,1063,1
21-25,Arizona,Phoenix,Desert Botanical Garden,Hiking,11,1734,3
36-40,Nevada,Reno,Lake Tahoe,Theme Parks,9,1962,1
21-25,New York,Buffalo,Buffalo Zoo,Visit Historical Sites,7,1040,5
26-30,California,San Diego,San Diego Zoo,Visit Historical Sites,10,1398,1
26-30,Nebraska,Omaha,Henry Doorly Zoo,Hiking,10,1653,1
41-45,Nebraska,Omaha,Henry Doorly Zoo,Visit Historical Sites,14,3089,1
56-60,Texas,Houston,Space Center,Boating,2,599,2
41-45,Nevada,Reno,Lake Tahoe,Sightseeing,13,2350,2
21-25,Arizona,Grand Canyon Village,Grand Canyon,Sightseeing,6,807,4
66-70,Florida,Orlando,Walt Disney World,Museum,2,641,3
51-55,Iowa,Cedar Rapids,National Czech & Slovak Museum & Library,Hiking,3,651,3
51-55,New Mexico,Santa Fe,Santa Fe Plaza,Hiking,8,1716,2
51-55,Arizona,Phoenix,Desert Botanical Garden,Visit Historical Sites,2,465,2
51-55,Arizona,Grand Canyon Village,Grand Canyon,Hiking,1,258,1
61-65,Michigan,Detroit,The Detroit Institute of Arts,Museum,12,2719,1
21-25,New York,New York City,Empire State Building,Boating,12,2074,5
46-50,Tennessee,Nashville,Grand Ole Opry,Sightseeing,11,2843,1
31-35,Nevada,Reno,Lake Tahoe,Theme Parks,11,1724,4
31-35,Texas,Austin,The State Capitol,Theme Parks,3,645,4
36-40,Iowa,Des Moines,Iowa State Capitol,Theme Parks,5,907,4
36-40,Oregon,Eugene,Mount Pisgah,Visit Historical Sites,13,3041,3
51-55,Washington,Spokane,Manito Park,Hiking,11,2200,3
56-60,Oregon,Eugene,Mount Pisgah,Theme Parks,3,620,3
51-55,Colorado,Denver,Rocky Mountain National Park,Theme Parks,7,1466,1
66-70,Michigan,Detroit,The Detroit Institute of Arts,Visit Historical Sites,12,4041,5
66-70,New Mexico,Albuquerque,Sandia Peak Tramway,Boating,3,773,3
41-45,Oregon,Eugene,Mount Pisgah,Theme Parks,5,869,1
61-65,New Mexico,Albuquerque,Sandia Peak Tramway,Visit Historical Sites,10,2385,5
31-35,Iowa,Cedar Rapids,National Czech & Slovak Museum & Library,Sightseeing,11,1947,4
51-55,New York,Buffalo,Buffalo Zoo,Hiking,6,1434,4
31-35,Indiana,Bloomington,Monroe Lake,Sightseeing,4,835,1
66-70,Nevada,Las Vegas,Red Rock Canyon,Boating,4,1026,3
51-55,New Mexico,Albuquerque,Sandia Peak Tramway,Visit Historical Sites,1,240,3
26-30,Washington,Spokane,Manito Park,Visit Historical Sites,9,1255,5
21-25,California,San Diego,San Diego Zoo,Hiking,3,430,3
61-65,Colorado,Denver,Rocky Mountain National Park,Visit Historical Sites,4,1145,1
21-25,Texas,Austin,The State Capitol,Sightseeing,9,1327,3
66-70,Florida,Orlando,Walt Disney World,Theme Parks,2,543,5
36-40,Iowa,Des Moines,Iowa State Capitol,Hiking,12,1923,4
36-40,Iowa,Cedar Rapids,National Czech & Slovak Museum & Library,Theme Parks,11,1856,3
46-50,Michigan,Detroit,The Detroit Institute of Arts,Visit Historical Sites,12,3087,3
46-50,Tennessee,Memphis,Graceland,Theme Parks,11,2576,4
26-30,Nevada,Las Vegas,The Strip,Sightseeing,3,413,3
31-35,Tennessee,Nashville,Grand Ole Opry,Theme Parks,1,202,4
21-25,Nevada,Reno,Lake Tahoe,Boating,14,2412,3
26-30,Nebraska,Omaha,Henry Doorly Zoo,Museum,9,1312,5
61-65,Florida,Orlando,Universal Studios,Hiking,14,3329,1
31-35,Tennessee,Memphis,Graceland,Theme Parks,2,354,3
51-55,Tennessee,Memphis,Graceland,Boating,7,1460,3
26-30,Colorado,Denver,Rocky Mountain National Park,Sightseeing,12,1999,1
61-65,Indiana,Indianapolis,Indianapolis Motor Speedway,Boating,14,3957,5
26-30,Washington,Seattle,Space Needle,Theme Parks,2,335,3
46-50,Nevada,Reno,Lake Tahoe,Sightseeing,4,923,2
51-55,New Mexico,Albuquerque,Sandia Peak Tramway,Museum,9,2129,1
51-55,New Mexico,Santa Fe,Santa Fe Plaza,Boating,8,2226,4
41-45,Tennessee,Nashville,Grand Ole Opry,Boating,9,1659,3
31-35,New Mexico,Albuquerque,Sandia Peak Tramway,Boating,11,1755,1
31-35,New Mexico,Santa Fe,Santa Fe Plaza,Hiking,6,1267,2
36-40,Washington,Spokane,Manito Park,Boating,4,906,5
51-55,Indiana,Indianapolis,Indianapolis Motor Speedway,Sightseeing,13,2818,1
26-30,Oregon,Eugene,Mount Pisgah,Theme Parks,8,1352,2
56-60,Arizona,Phoenix,Desert Botanical Garden,Hiking,6,1751,5
66-70,Iowa,Des Moines,Iowa State Capitol,Boating,8,2405,5
56-60,Florida,Orlando,Universal Studios,Visit Historical Sites,11,2606,5
41-45,Massachusetts,Boston,Freedom Trail,Museum,3,565,4
21-25,Texas,Austin,The State Capitol,Theme Parks,2,318,3
46-50,Florida,Miami,Everglades,Museum,8,1774,3
36-40,Nevada,Las Vegas,The Strip,Museum,2,354,2
51-55,New York,New York City,Empire State Building,Boating,3,726,1
21-25,Indiana,Indianapolis,Indianapolis Motor Speedway,Visit Historical Sites,12,1887,4
56-60,Illinois,Chicago,Willis Tower,Theme Parks,4,1082,5
66-70,New Mexico,Albuquerque,Sandia Peak Tramway,Hiking,5,1286,3
46-50,Illinois,Chicago,Millennium Park,Sightseeing,1,211,4
56-60,New Mexico,Albuquerque,Sandia Peak Tramway,Sightseeing,4,922,3
56-60,Illinois,Springfield,Lincoln Home National Historic Site,Sightseeing,6,1524,3
31-35,Oregon,Eugene,Mount Pisgah,Hiking,1,145,5
61-65,Washington,Seattle,Pike Place Market,Hiking,8,2073,4
46-50,New York,Buffalo,Buffalo Zoo,Boating,3,685,5
31-35,Massachusetts,Cambridge,Harvard University,Boating,7,1198,3
31-35,Colorado,Denver,Rocky Mountain National Park,Visit Historical Sites,14,2366,1
31-35,Texas,Houston,Houston Zoo,Hiking,3,602,2
31-35,Massachusetts,Cambridge,Harvard University,Sightseeing,13,2594,1
51-55,Indiana,Indianapolis,Indianapolis Motor Speedway,Hiking,14,3647,1
51-55,Iowa,Des Moines,Iowa State Capitol,Museum,13,3113,1
56-60,California,San Diego,Balboa Park,Museum,10,2320,5
61-65,Illinois,Chicago,Willis Tower,Hiking,11,3107,3
31-35,Tennessee,Nashville,Grand Ole Opry,Theme Parks,12,1874,5
61-65,Colorado,Denver,Rocky Mountain National Park,Hiking,5,1228,3
36-40,Massachusetts,Boston,Freedom Trail,Museum,8,1869,2
56-60,New York,New York City,Empire State Building,Hiking,13,3330,1
66-70,Florida,Miami,Miami Beach,Theme Parks,5,1534,5
21-25,Washington,Seattle,Pike Place Market,Museum,8,1342,2
31-35,Washington,Seattle,Pike Place Market,Theme Parks,5,948,2
61-65,Oregon,Portland,Portland Japanese Garden,Visit Historical Sites,6,1440,1
21-25,California,Los Angeles,Santa Monica Pier,Museum,14,1843,2
31-35,Tennessee,Memphis,Graceland,Visit Historical Sites,9,1555,4
66-70,New Mexico,Albuquerque,Sandia Peak Tramway,Sightseeing,10,2899,5
41-45,New York,Buffalo,Buffalo Zoo,Theme Parks,9,1840,1
61-65,Florida,Miami,Everglades,Visit Historical Sites,9,2747,5
66-70,Nevada,Reno,Lake Tahoe,Hiking,14,4209,4
31-35,Tennessee,Nashville,Grand Ole Opry,Boating,9,1303,3
31-35,New Mexico,Santa Fe,Santa Fe Plaza,Museum,14,2983,1
31-35,Massachusetts,Cambridge,Harvard University,Sightseeing,14,2772,1
51-55,Washington,Spokane,Manito Park,Theme Parks,3,730,5
61-65,Washington,Spokane,Manito Park,Museum,8,2495,3
36-40,Indiana,Bloomington,Monroe Lake,Hiking,14,2809,1
21-25,Michigan,Ann Arbor,University of Michigan,Sightseeing,3,370,1
21-25,New Mexico,Albuquerque,Sandia Peak Tramway,Boating,2,273,3
46-50,Nevada,Las Vegas,The Strip,Visit Historical Sites,2,516,1
66-70,Michigan,Ann Arbor,University of Michigan,Hiking,12,3836,5
26-30,Washington,Seattle,Space Needle,Museum,5,796,2
46-50,Nevada,Las Vegas,Red Rock Canyon,Boating,13,3150,4
21-25,Illinois,Chicago,Millennium Park,Museum,11,1454,3
56-60,Illinois,Chicago,Willis Tower,Hiking,12,2519,5
46-50,Indiana,Bloomington,Monroe Lake,Boating,1,201,1
36-40,Illinois,Springfield,Lincoln Home National Historic Site,Theme Parks,1,180,5
66-70,California,Los Angeles,Santa Monica Pier,Sightseeing,14,3332,5
61-65,New Mexico,Santa Fe,Santa Fe Plaza,Hiking,9,2331,5
41-45,Oregon,Portland,Portland Japanese Garden,Museum,3,694,1
46-50,Massachusetts,Cambridge,Harvard University,Visit Historical Sites,5,1030,4
41-45,Nevada,Las Vegas,Red Rock Canyon,Theme Parks,3,741,5
41-45,Colorado,Boulder,Boulder Creek Path,Theme Parks,14,2849,2
26-30,Colorado,Boulder,Boulder Creek Path,Theme Parks,1,138,5
21-25,New York,Buffalo,Buffalo Zoo,Boating,2,343,4
31-35,Washington,Spokane,Manito Park,Boating,9,1782,4
31-35,Massachusetts,Cambridge,Harvard University,Hiking,5,977,4
66-70,Nebraska,Omaha,Henry Doorly Zoo,Theme Parks,10,3187,2
36-40,Tennessee,Nashville,Grand Ole Opry,Visit Historical Sites,4,773,1
41-45,Washington,Seattle,Space Needle,Sightseeing,3,615,5
26-30,Iowa,Cedar Rapids,National Czech & Slovak Museum & Library,Sightseeing,2,391,5
56-60,Florida,Orlando,Universal Studios,Hiking,14,3320,1
41-45,Texas,Austin,Zilker Metropolitan Park,Boating,1,252,3
51-55,Washington,Seattle,Pike Place Market,Visit Historical Sites,13,3534,4
61-65,Illinois,Springfield,Lincoln Home National Historic Site,Theme Parks,8,2464,5
56-60,Washington,Spokane,Manito Park,Hiking,2,535,5
46-50,Michigan,Ann Arbor,University of Michigan,Theme Parks,2,466,1
56-60,Nevada,Las Vegas,The Strip,Visit Historical Sites,8,2322,4
56-60,Texas,Austin,The State Capitol,Boating,10,2339,3
56-60,Tennessee,Memphis,Graceland,Boating,3,805,1
21-25,Massachusetts,Boston,Fenway Park,Museum,14,2120,4
61-65,California,San Francisco,Alcatraz Island,Sightseeing,12,3209,1
66-70,Tennessee,Memphis,Graceland,Theme Parks,11,3474,1
56-60,Colorado,Denver,Rocky Mountain National Park,Boating,9,1991,5
61-65,California,San Francisco,Alcatraz Island,Hiking,7,2159,3
61-65,Massachusetts,Boston,Fenway Park,Hiking,3,724,4
36-40,Texas,Dallas,The Sixth Floor Museum,Hiking,13,2120,5
66-70,California,Los Angeles,Santa Monica Pier,Theme Parks,8,1968,4
56-60,Illinois,Chicago,Willis Tower,Museum,8,2144,5
56-60,Washington,Seattle,Pike Place Market,Sightseeing,3,835,1
31-35,Colorado,Boulder,Boulder Creek Path,Boating,14,2200,5
66-70,Colorado,Boulder,Boulder Creek Path,Visit Historical Sites,6,1759,5
31-35,Massachusetts,Cambridge,Harvard University,Theme Parks,1,209,2
56-60,Washington,Seattle,Space Needle,Hiking,8,2400,1
61-65,Florida,Orlando,Universal Studios,Hiking,6,1570,4
36-40,Oregon,Portland,Portland Japanese Garden,Theme Parks,14,2640,2
31-35,Iowa,Des Moines,Iowa State Capitol,Theme Parks,9,1468,5
46-50,Iowa,Cedar Rapids,National Czech & Slovak Museum & Library,Sightseeing,7,1683,3
41-45,Michigan,Detroit,The Detroit Institute of Arts,Sightseeing,12,2393,1
36-40,Colorado,Denver,Rocky Mountain National Park,Visit Historical Sites,10,1704,4
41-45,Massachusetts,Boston,Fenway Park,Boating,2,462,4
26-30,Washington,Seattle,Space Needle,Visit Historical Sites,2,296,2
61-65,Illinois,Springfield,Lincoln Home National Historic Site,Boating,12,3377,3
46-50,Illinois,Chicago,Millennium Park,Museum,10,2689,2
36-40,New York,New York City,Empire State Building,Boating,6,1352,4
66-70,Massachusetts,Cambridge,Harvard University,Hiking,7,2269,3
41-45,Michigan,Detroit,The Detroit Institute of Arts,Visit Historical Sites,14,2714,3
41-45,Florida,Orlando,Universal Studios,Museum,14,3451,4
56-60,Michigan,Ann Arbor,University of Michigan,Hiking,12,3343,4
21-25,Nebraska,Lincoln,Sunken Gardens,Visit Historical Sites,14,2372,5
61-65,New Mexico,Santa Fe,Santa Fe Plaza,Boating,7,2141,3
51-55,Indiana,Indianapolis,Indianapolis Motor Speedway,Museum,11,2912,2
66-70,Colorado,Denver,Rocky Mountain National Park,Museum,10,2718,3
46-50,Michigan,Detroit,The Detroit Institute of Arts,Visit Historical Sites,5,951,3
66-70,Michigan,Ann Arbor,University of Michigan,Museum,7,1874,5
51-55,Indiana,Indianapolis,Indianapolis Motor Speedway,Hiking,13,3431,3
31-35,Nevada,Las Vegas,Red Rock Canyon,Boating,10,1495,1
61-65,Washington,Seattle,Space Needle,Hiking,8,1883,3
41-45,Nevada,Reno,Lake Tahoe,Sightseeing,6,1369,2
21-25,Michigan,Detroit,The Detroit Institute of Arts,Boating,3,381,5
61-65,Indiana,Indianapolis,Indianapolis Motor Speedway,Visit Historical Sites,3,670,3
51-55,Michigan,Detroit,The Detroit Institute of Arts,Visit Historical Sites,5,1134,4
66-70,Oregon,Eugene,Mount Pisgah,Sightseeing,13,3748,1
36-40,New York,Buffalo,Buffalo Zoo,Sightseeing,7,1598,3
51-55,Florida,Miami,Everglades,Sightseeing,14,3436,1
61-65,Texas,Dallas,The Sixth Floor Museum,Theme Parks,14,3062,1
66-70,Arizona,Grand Canyon Village,Grand Canyon,Theme Parks,14,3967,5
41-45,Illinois,Chicago,Willis Tower,Boating,1,233,1
61-65,Arizona,Phoenix,Desert Botanical Garden,Sightseeing,9,2029,3
21-25,Indiana,Indianapolis,Indianapolis Motor Speedway,Hiking,9,1134,4
51-55,Illinois,Springfield,Lincoln Home National Historic Site,Museum,10,2715,3
21-25,Michigan,Detroit,The Detroit Institute of Arts,Boating,9,1310,1
26-30,Michigan,Detroit,The Detroit Institute of Arts,Museum,4,644,2
26-30,Massachusetts,Cambridge,Harvard University,Hiking,11,1787,2
66-70,Florida,Orlando,Universal Studios,Museum,5,1152,2
36-40,Nevada,Las Vegas,The Strip,Visit Historical Sites,8,1832,5
41-45,New Mexico,Santa Fe,Santa Fe Plaza,Boating,11,2321,4
51-55,Texas,Austin,The State Capitol,Sightseeing,8,1661,5
21-25,Iowa,Des Moines,Iowa State Capitol,Sightseeing,12,1519,2
21-25,Massachusetts,Boston,Freedom Trail,Sightseeing,3,405,4
56-60,Florida,Orlando,Universal Studios,Sightseeing,14,4040,2
51-55,Illinois,Chicago,Willis Tower,Hiking,4,1108,2
66-70,Nebraska,Omaha,Henry Doorly Zoo,Theme Parks,11,3500,3
51-55,Tennessee,Nashville,Grand Ole Opry,Sightseeing,4,947,5
66-70,Oregon,Portland,Portland Japanese Garden,Museum,14,3538,1
26-30,Florida,Miami,Miami Beach,Sightseeing,11,1774,2
26-30,Indiana,Bloomington,Monroe Lake,Visit Historical Sites,2,337,4
56-60,Nebraska,Omaha,Henry Doorly Zoo,Museum,8,2376,4
21-25,Texas,Dallas,The Sixth Floor Museum,Visit Historical Sites,10,1459,2
26-30,Illinois,Springfield,Lincoln Home National Historic Site,Boating,8,1457,5
26-30,Nebraska,Lincoln,Sunken Gardens,Visit Historical Sites,12,2130,1
61-65,Iowa,Des Moines,Iowa State Capitol,Visit Historical Sites,9,2822,2
66-70,California,San Diego,Balboa Park,Theme Parks,7,2209,5
21-25,Tennessee,Memphis,Graceland,Theme Parks,12,2055,3
31-35,Florida,Orlando,Universal Studios,Hiking,6,1210,1
31-35,Texas,Dallas,The Sixth Floor Museum,Visit Historical Sites,4,587,2
41-45,Colorado,Denver,Rocky Mountain National Park,Visit Historical Sites,5,904,3
51-55,Washington,Seattle,Pike Place Market,Boating,5,1150,2
36-40,Washington,Seattle,Space Needle,Visit Historical Sites,7,1628,2
61-65,Florida,Orlando,Universal Studios,Boating,10,2922,2
46-50,Nebraska,Omaha,Henry Doorly Zoo,Boating,11,2839,5
26-30,Texas,Houston,Houston Zoo,Museum,11,1829,4
26-30,Arizona,Grand Canyon Village,Grand Canyon,Theme Parks,12,2129,1
21-25,New Mexico,Albuquerque,Sandia Peak Tramway,Hiking,4,573,5
41-45,Illinois,Springfield,Lincoln Home National Historic Site,Museum,13,2322,1
21-25,Illinois,Chicago,Millennium Park,Boating,6,866,2
26-30,Iowa,Des Moines,Iowa State Capitol,Theme Parks,7,1234,4
61-65,Massachusetts,Boston,Fenway Park,Boating,5,1366,5
36-40,Michigan,Ann Arbor,University of Michigan,Museum,13,2786,3
61-65,Indiana,Indianapolis,Indianapolis Motor Speedway,Theme Parks,14,4454,2
41-45,Colorado,Boulder,Boulder Creek Path,Hiking,7,1237,2
66-70,Illinois,Springfield,Lincoln Home National Historic Site,Boating,8,2386,4
66-70,Arizona,Grand Canyon Village,Grand Canyon,Boating,10,2345,1
31-35,Michigan,Ann Arbor,University of Michigan,Theme Parks,11,2003,4
31-35,Colorado,Boulder,Boulder Creek Path,Sightseeing,3,558,4
21-25,Illinois,Chicago,Willis Tower,Sightseeing,7,842,3
46-50,California,San Diego,Balboa Park,Visit Historical Sites,5,1123,4
21-25,New York,Buffalo,Buffalo Zoo,Sightseeing,10,1299,5
36-40,Texas,Dallas,The Sixth Floor Museum,Sightseeing,12,2675,4
66-70,Washington,Spokane,Manito Park,Hiking,13,3683,2
36-40,Arizona,Phoenix,Desert Botanical Garden,Theme Parks,12,1947,3
46-50,Washington,Spokane,Manito Park,Boating,11,2582,1
26-30,Florida,Miami,Miami Beach,Museum,9,1658,4
26-30,New York,Buffalo,Buffalo Zoo,Theme Parks,7,1365,5
61-65,Tennessee,Memphis,Graceland,Boating,11,3541,2
41-45,Indiana,Bloomington,Monroe Lake,Boating,12,2171,3
61-65,Texas,Dallas,The Sixth Floor Museum,Boating,1,291,4
26-30,Oregon,Portland,Portland Japanese Garden,Theme Parks,1,197,4
56-60,Indiana,Indianapolis,Indianapolis Motor Speedway,Theme Parks,5,1178,5
31-35,Iowa,Cedar Rapids,National Czech & Slovak Museum & Library,Theme Parks,4,814,1
26-30,New Mexico,Santa Fe,Santa Fe Plaza,Theme Parks,13,2450,2
66-70,Massachusetts,Cambridge,Harvard University,Visit Historical Sites,10,2480,3
51-55,California,San Diego,Balboa Park,Visit Historical Sites,11,3098,1
41-45,Colorado,Boulder,Boulder Creek Path,Museum,2,392,3
21-25,Arizona,Grand Canyon Village,Grand Canyon,Museum,3,504,5
51-55,Florida,Miami,Miami Beach,Hiking,3,708,2
31-35,Texas,Austin,The State Capitol,Theme Parks,7,1043,4
26-30,Nevada,Las Vegas,The Strip,Theme Parks,13,1769,3
66-70,New Mexico,Albuquerque,Sandia Peak Tramway,Sightseeing,6,1369,5
41-45,California,Los Angeles,Hollywood,Visit Historical Sites,5,1005,3
41-45,Arizona,Grand Canyon Village,Grand Canyon,Boating,14,3297,2
36-40,Iowa,Cedar Rapids,National Czech & Slovak Museum & Library,Hiking,5,1026,3
56-60,Indiana,Bloomington,Monroe Lake,Visit Historical Sites,14,3866,1
21-25,Nevada,Reno,Lake Tahoe,Museum,1,178,4
56-60,New York,New York City,Central Park,Visit Historical Sites,10,2595,3
66-70,Texas,Houston,Space Center,Hiking,12,3109,5
66-70,Illinois,Springfield,Lincoln Home National Historic Site,Museum,2,570,2
26-30,Illinois,Springfield,Lincoln Home National Historic Site,Visit Historical Sites,4,777,5
46-50,New Mexico,Albuquerque,Sandia Peak Tramway,Sightseeing,8,1854,5
41-45,Texas,Dallas,The Sixth Floor Museum,Boating,1,169,2
21-25,Indiana,Bloomington,Monroe Lake,Hiking,11,1458,3
46-50,Texas,Houston,Space Center,Boating,13,3053,1
36-40,Nebraska,Lincoln,Sunken Gardens,Sightseeing,5,931,3
66-70,Tennessee,Nashville,Grand Ole Opry,Visit Historical Sites,14,4095,1
36-40,Washington,Spokane,Manito Park,Hiking,2,368,5
26-30,Oregon,Eugene,Mount Pisgah,Museum,1,179,5
66-70,Tennessee,Memphis,Graceland,Sightseeing,6,1514,4
31-35,Oregon,Eugene,Mount Pisgah,Museum,10,1692,4
61-65,New York,New York City,Empire State Building,Boating,14,4186,2
21-25,New Mexico,Albuquerque,Sandia Peak Tramway,Museum,4,697,3
61-65,Florida,Orlando,Universal Studios,Theme Parks,12,2628,5
51-55,Michigan,Ann Arbor,University of Michigan,Visit Historical Sites,6,1458,2
61-65,Nevada,Las Vegas,Red Rock Canyon,Visit Historical Sites,12,3015,3
56-60,Washington,Seattle,Space Needle,Boating,6,1567,2
61-65,Indiana,Bloomington,Monroe Lake,Boating,2,600,4
46-50,Arizona,Grand Canyon Village,Grand Canyon,Sightseeing,12,2581,3
41-45,Michigan,Ann Arbor,University of Michigan,Boating,13,2905,3
26-30,Indiana,Bloomington,Monroe Lake,Hiking,3,396,2
56-60,Iowa,Cedar Rapids,National Czech & Slovak Museum & Library,Visit Historical Sites,10,2741,1
36-40,Massachusetts,Boston,Freedom Trail,Visit Historical Sites,13,3019,3
66-70,Iowa,Des Moines,Iowa State Capitol,Hiking,3,882,3
51-55,Iowa,Cedar Rapids,National Czech & Slovak Museum & Library,Museum,6,1390,4
41-45,Indiana,Indianapolis,Indianapolis Motor Speedway,Boating,1,181,5
21-25,Michigan,Detroit,The Detroit Institute of Arts,Hiking,5,628,1
41-45,Illinois,Springfield,Lincoln Home National Historic Site,Theme Parks,8,1677,3
51-55,New Mexico,Albuquerque,Sandia Peak Tramway,Visit Historical Sites,11,2260,2
36-40,Colorado,Boulder,Boulder Creek Path,Sightseeing,11,2238,2
56-60,Arizona,Grand Canyon Village,Grand Canyon,Sightseeing,12,3383,4
61-65,Arizona,Grand Canyon Village,Grand Canyon,Boating,3,952,3
31-35,Massachusetts,Cambridge,Harvard University,Hiking,3,513,2
41-45,Oregon,Eugene,Mount Pisgah,Visit Historical Sites,2,500,4
36-40,Tennessee,Memphis,Graceland,Visit Historical Sites,1,208,5
61-65,Massachusetts,Cambridge,Harvard University,Boating,2,634,4
46-50,Michigan,Ann Arbor,University of Michigan,Theme Parks,9,1942,5
66-70,New York,Buffalo,Niagara Falls,Museum,8,2683,5
56-60,Florida,Miami,Miami Beach,Theme Parks,10,2543,4
21-25,New York,New York City,Empire State Building,Visit Historical Sites,12,1771,4
66-70,Washington,Spokane,Manito Park,Sightseeing,10,3054,5
46-50,New Mexico,Santa Fe,Santa Fe Plaza,Visit Historical Sites,9,2119,2
21-25,Massachusetts,Cambridge,Harvard University,Theme Parks,11,1446,3
41-45,New York,New York City,Empire State Building,Hiking,6,1474,2
31-35,Washington,Spokane,Manito Park,Theme Parks,14,2258,3
61-65,Texas,Dallas,The Sixth Floor Museum,Sightseeing,11,2916,5
41-45,Massachusetts,Cambridge,Harvard University,Museum,11,2341,2
36-40,Nebraska,Lincoln,Sunken Gardens,Sightseeing,7,1305,4
51-55,New Mexico,Albuquerque,Sandia Peak Tramway,Boating,1,206,2
21-25,California,San Diego,San Diego Zoo,Sightseeing,1,128,3
61-65,Tennessee,Nashville,Grand Ole Opry,Museum,14,3316,3
66-70,Texas,Houston,Space Center,Hiking,12,3298,4
41-45,Texas,Houston,Houston Zoo,Boating,6,1062,5
56-60,Massachusetts,Cambridge,Harvard University,Theme Parks,4,975,4
31-35,Florida,Orlando,Walt Disney World,Sightseeing,1,201,5
61-65,New York,Buffalo,Buffalo Zoo,Sightseeing,8,1772,1
36-40,Michigan,Detroit,The Detroit Institute of Arts,Hiking,12,2054,1
61-65,Iowa,Des Moines,Iowa State Capitol,Boating,2,622,3
61-65,New York,Buffalo,Niagara Falls,Hiking,11,3557,2
46-50,New Mexico,Santa Fe,Santa Fe Plaza,Boating,12,2801,4
31-35,Iowa,Des Moines,Iowa State Capitol,Boating,3,548,4
31-35,New Mexico,Albuquerque,Sandia Peak Tramway,Theme Parks,8,1628,2
26-30,Nevada,Reno,Lake Tahoe,Theme Parks,8,1491,1
46-50,Tennessee,Memphis,Graceland,Boating,5,991,3
26-30,New Mexico,Albuquerque,Sandia Peak Tramway,Museum,12,1705,4
66-70,Nevada,Las Vegas,Red Rock Canyon,Boating,10,3063,3
51-55,Colorado,Denver,Rocky Mountain National Park,Boating,6,1316,1
61-65,Massachusetts,Boston,Fenway Park,Visit Historical Sites,4,1043,5
21-25,Indiana,Indianapolis,Indianapolis Motor Speedway,Visit Historical Sites,6,807,1
21-25,Illinois,Springfield,Lincoln Home National Historic Site,Sightseeing,2,260,5
66-70,Arizona,Grand Canyon Village,Grand Canyon,Boating,9,2424,3
31-35,California,San Francisco,Golden Gate Bridge,Sightseeing,11,1945,5
51-55,Washington,Spokane,Manito Park,Hiking,6,1231,2
26-30,Washington,Spokane,Manito Park,Hiking,6,833,5
31-35,California,San Francisco,Golden Gate Bridge,Boating,10,1974,5
46-50,Illinois,Springfield,Lincoln Home National Historic Site,Hiking,5,935,2
41-45,Nevada,Las Vegas,Red Rock Canyon,Hiking,8,1794,3
46-50,Florida,Miami,Miami Beach,Boating,4,989,4
66-70,Texas,Dallas,The Sixth Floor Museum,Museum,12,3605,2
61-65,Colorado,Boulder,Boulder Creek Path,Theme Parks,13,4038,3
66-70,Michigan,Detroit,The Detroit Institute of Arts,Hiking,6,1432,1
56-60,Indiana,Bloomington,Monroe Lake,Museum,4,848,5
56-60,Nevada,Las Vegas,Red Rock Canyon,Boating,12,3301,5
31-35,Massachusetts,Cambridge,Harvard University,Hiking,8,1162,4
51-55,Nevada,Reno,Lake Tahoe,Sightseeing,1,282,5
66-70,Tennessee,Memphis,Graceland,Hiking,5,1653,4
61-65,New York,Buffalo,Buffalo Zoo,Boating,1,314,5
61-65,California,San Diego,San Diego Zoo,Sightseeing,6,1769,3
61-65,Colorado,Denver,Rocky Mountain National Park,Boating,8,2435,4
26-30,Arizona,Grand Canyon Village,Grand Canyon,Sightseeing,5,931,1
36-40,Michigan,Ann Arbor,University of Michigan,Museum,11,1952,1
61-65,Texas,Houston,Houston Zoo,Museum,7,1902,4
46-50,Oregon,Portland,Portland Japanese Garden,Museum,8,1822,1
31-35,Florida,Miami,Everglades,Hiking,1,157,4
41-45,Arizona,Phoenix,Desert Botanical Garden,Sightseeing,2,365,5
51-55,Indiana,Bloomington,Monroe Lake,Theme Parks,4,1019,3
21-25,Florida,Miami,Miami Beach,Hiking,8,1278,5
66-70,Nevada,Las Vegas,Red Rock Canyon,Boating,1,313,5
41-45,Nebraska,Lincoln,Sunken Gardens,Sightseeing,3,537,3
